ticker,model,squared_error_pp2,rmse_pct_monthly
IDU,FF5,15.1828443035,3.89651694511
IDU,Market,14.7871723788,3.84540926025
IDU,OLS,14.9036844011,3.86052903125
IDU,PCR 4,15.3714453114,3.9206434818
IDU,Ridge 0.1,14.5606539027,3.81584248925
IYC,FF5,3.16568979864,1.77923854461
IYC,Market,3.23248197626,1.79791044723
IYC,OLS,3.15057514062,1.77498595505
IYC,PCR 4,5.20123650126,2.28062195492
IYC,Ridge 0.1,3.39212618675,1.84177256651
IYE,FF5,27.6281075005,5.25624461955
IYE,Market,39.7828758074,6.30736678872
IYE,OLS,27.5900352587,5.25262175097
IYE,PCR 4,28.6661579389,5.35407862651
IYE,Ridge 0.1,26.0817611865,5.10703056448
IYF,FF5,3.3183229809,1.8216264658
IYF,Market,6.31795371328,2.51355400047
IYF,OLS,3.38639114374,1.84021497215
IYF,PCR 4,6.518237254,2.55308387132
IYF,Ridge 0.1,3.55477313077,1.88541060005
IYH,FF5,7.49847626381,2.7383345785
IYH,Market,7.8376733203,2.79958449065
IYH,OLS,7.64411859763,2.76479992
IYH,PCR 4,8.96142273961,2.99356355196
IYH,Ridge 0.1,7.31498703969,2.70462327131
IYJ,FF5,3.13018727665,1.76923352801
IYJ,Market,3.63954756977,1.90775983021
IYJ,OLS,3.18144920001,1.78366173924
IYJ,PCR 4,4.13928367625,2.03452296036
IYJ,Ridge 0.1,3.20022098214,1.78891614732
IYK,FF5,5.6842166421,2.3841595253
IYK,Market,8.06487685728,2.83987268329
IYK,OLS,5.90814840777,2.43066830476
IYK,PCR 4,7.64855857183,2.76560275018
IYK,Ridge 0.1,5.80560580192,2.40948247595
IYM,FF5,9.73730039462,3.12046477221
IYM,Market,11.587863007,3.40409503495
IYM,OLS,9.51568442889,3.08475030252
IYM,PCR 4,11.1765268393,3.34313129256
IYM,Ridge 0.1,9.09970374196,3.01657152111
IYW,FF5,4.88105176255,2.20931024588
IYW,Market,7.52046914259,2.74234737818
IYW,OLS,5.04688852114,2.2465281038
IYW,PCR 4,7.9353680829,2.81697853788
IYW,Ridge 0.1,5.53792236292,2.35327906609
IYZ,FF5,11.3137161143,3.36358679304
IYZ,Market,11.0717988907,3.32743127512
IYZ,OLS,11.4093064195,3.37776648387
IYZ,PCR 4,13.1423628923,3.62523970136
IYZ,Ridge 0.1,11.4165482704,3.3788383019
